Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,15856574731.4411,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355188.60063,11926962834.9645,12890867535.5568,12319784701.3346,12776277648.9159,13228244336.3241,11386927679.0875,11861353752.0672,13025064966.5784,15102500898.238,..
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045099642.7774,54786074940.2073,161205065469.309,200015355528.47,209062886917.045,209754763860.68,213808808746.696,165978425168.386,160032930353.764,167390266100.763,173757952824.25,..
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1434429703.33518,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3013387423.93509,3236543909.34844,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963.1618,9129594818.60749,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591,105750987618.63,..
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459469058.888889,830158777.777778,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1610574074.07407,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,642695864756.35,519871519807.795,..
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11527458565.7334,12433089919.0459,..
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.194486,1873452513.96648,2390502793.29609,2549720670.39106,2534636871.50838,2581564245.81006,2649720670.39106,2691620111.73184,2646927374.30168,2700558659.21788,..,..
