"","Country.Region","day","value","rank","Value_rel","Value_lbl"
"1","Australia",2020-01-30,2,3,0.0148148148148148," 2"
"2","Australia",2020-01-31,2,3,0.00934579439252336," 2"
"3","Australia",2020-02-01,2,3,0.00727272727272727," 2"
"4","Australia",2020-02-02,2,3,0.00431965442764579," 2"
"5","Australia",2020-02-03,2,3,0.00325732899022801," 2"
"6","Australia",2020-02-04,2,3,0.00237247924080664," 2"
"7","Australia",2020-02-05,2,3,0.00179372197309417," 2"
"8","Australia",2020-02-06,2,3,0.001354096140826," 2"
"9","Australia",2020-02-07,2,3,0.00100050025012506," 2"
"10","Australia",2020-02-08,2,3.5,0.000770416024653313," 2"
"11","Australia",2020-02-09,2,5.5,0.000621310966138552," 2"
"12","Australia",2020-02-10,2,6.5,0.000510464522715671," 2"
"13","Australia",2020-02-11,2,9,0.000431406384814495," 2"
"14","Australia",2020-02-12,2,10,0.000393545848091303," 2"
"15","Australia",2020-02-13,8,5,0.00128679427376548," 8"
"16","Australia",2020-02-14,8,5,0.00100288328945719," 8"
"17","Australia",2020-02-15,8,6,0.000860400086040009," 8"
"18","Australia",2020-02-16,8,6.5,0.000743840074384007," 8"
"19","Australia",2020-02-17,10,5.5,0.000802439415824105," 10"
"20","Australia",2020-02-18,10,8,0.000703927917781219," 10"
"21","Australia",2020-02-19,10,8,0.000626487908783361," 10"
"22","Australia",2020-02-20,10,8,0.000555123792605751," 10"
"23","Australia",2020-02-21,11,9,0.000588109495295124," 11"
"24","Australia",2020-02-22,11,9,0.00048460284594035," 11"
"25","Australia",2020-02-23,11,9,0.000474403760727994," 11"
"26","Australia",2020-02-24,11,9,0.000439736158305017," 11"
"27","Australia",2020-02-25,11,9.5,0.000397456279809221," 11"
"28","Australia",2020-03-05,21,9,0.000401591065554961," 21"
"29","Australia",2020-03-06,21,10,0.000389292599733057," 21"
"30","Bahrain",2020-03-11,35,9,0.000567776263707741," 35"
"31","Bahrain",2020-03-12,35,9,0.000556429945469865," 35"
"32","Bahrain",2020-03-13,44,10,0.000685400959561343," 44"
"33","Bahrain",2020-03-14,44,10,0.000670118793786171," 44"
"34","China",2020-01-22,28,1,1," 28"
"35","China",2020-01-23,30,1,1," 30"
"36","China",2020-01-24,36,1,1," 36"
"37","China",2020-01-25,39,1,1," 39"
"38","China",2020-01-26,49,1,1," 49"
"39","China",2020-01-27,58,1,1," 58"
"40","China",2020-01-28,101,1,1," 101"
"41","China",2020-01-29,120,1,1," 120"
"42","China",2020-01-30,135,1,1," 135"
"43","China",2020-01-31,214,1,1," 214"
"44","China",2020-02-01,275,1,1," 275"
"45","China",2020-02-02,463,1,1," 463"
"46","China",2020-02-03,614,1,1," 614"
"47","China",2020-02-04,843,1,1," 843"
"48","China",2020-02-05,1115,1,1," 1115"
"49","China",2020-02-06,1477,1,1," 1477"
"50","China",2020-02-07,1999,1,1," 1999"
"51","China",2020-02-08,2596,1,1," 2596"
"52","China",2020-02-09,3219,1,1," 3219"
"53","China",2020-02-10,3918,1,1," 3918"
"54","China",2020-02-11,4636,1,1," 4636"
"55","China",2020-02-12,5082,1,1," 5082"
"56","China",2020-02-13,6217,1,1," 6217"
"57","China",2020-02-14,7977,1,1," 7977"
"58","China",2020-02-15,9298,1,1," 9298"
