Country.Region,day,value
Thailand,1.22.20,2
Thailand,1.23.20,3
Thailand,1.24.20,5
Thailand,1.25.20,7
Thailand,1.26.20,8
Thailand,1.27.20,8
Thailand,1.28.20,14
Thailand,1.29.20,14
Thailand,1.30.20,14
Thailand,1.31.20,19
Thailand,2.1.20,19
Thailand,2.2.20,19
Thailand,2.3.20,19
Thailand,2.4.20,25
Thailand,2.5.20,25
Thailand,2.6.20,25
Thailand,2.7.20,25
Thailand,2.8.20,32
Thailand,2.9.20,32
Thailand,2.10.20,32
Thailand,2.11.20,33
Thailand,2.12.20,33
Thailand,2.13.20,33
Thailand,2.14.20,33
Thailand,2.15.20,33
Thailand,2.16.20,34
Thailand,2.17.20,35
Thailand,2.18.20,35
Thailand,2.19.20,35
Thailand,2.20.20,35
Thailand,2.21.20,35
Thailand,2.22.20,35
Thailand,2.23.20,35
Thailand,2.24.20,35
Thailand,2.25.20,37
Thailand,2.26.20,40
Thailand,2.27.20,40
Thailand,2.28.20,41
Thailand,2.29.20,42
Thailand,3.1.20,42
Thailand,3.2.20,43
Thailand,3.3.20,43
Thailand,3.4.20,43
Thailand,3.5.20,47
Thailand,3.6.20,48
Thailand,3.7.20,50
Thailand,3.8.20,50
Thailand,3.9.20,50
Thailand,3.10.20,53
Thailand,3.11.20,59
Thailand,3.12.20,70
Thailand,3.13.20,75
Japan,1.22.20,2
Japan,1.23.20,1
Japan,1.24.20,2
Japan,1.25.20,2
Japan,1.26.20,4
Japan,1.27.20,4
Japan,1.28.20,7
Japan,1.29.20,7
Japan,1.30.20,11
Japan,1.31.20,15
Japan,2.1.20,20
Japan,2.2.20,20
Japan,2.3.20,20
Japan,2.4.20,22
Japan,2.5.20,22
Japan,2.6.20,45
Japan,2.7.20,25
Japan,2.8.20,25
Japan,2.9.20,26
Japan,2.10.20,26
Japan,2.11.20,26
Japan,2.12.20,28
Japan,2.13.20,28
Japan,2.14.20,29
Japan,2.15.20,43
Japan,2.16.20,59
Japan,2.17.20,66
Japan,2.18.20,74
Japan,2.19.20,84
Japan,2.20.20,94
Japan,2.21.20,105
Japan,2.22.20,122
Japan,2.23.20,147
Japan,2.24.20,159
Japan,2.25.20,170
Japan,2.26.20,189
Japan,2.27.20,214
Japan,2.28.20,228
Japan,2.29.20,241
Japan,3.1.20,256
Japan,3.2.20,274
Japan,3.3.20,293
Japan,3.4.20,331
Japan,3.5.20,360
Japan,3.6.20,420
Japan,3.7.20,461
Japan,3.8.20,502
Japan,3.9.20,511
Japan,3.10.20,581
Japan,3.11.20,639
Japan,3.12.20,639
Japan,3.13.20,701
Singapore,1.22.20,0
Singapore,1.23.20,1
Singapore,1.24.20,3
Singapore,1.25.20,3
Singapore,1.26.20,4
Singapore,1.27.20,5
Singapore,1.28.20,7
Singapore,1.29.20,7
Singapore,1.30.20,10
Singapore,1.31.20,13
Singapore,2.1.20,16
Singapore,2.2.20,18
Singapore,2.3.20,18
Singapore,2.4.20,24
Singapore,2.5.20,28
Singapore,2.6.20,28
Singapore,2.7.20,30
Singapore,2.8.20,33
Singapore,2.9.20,40
Singapore,2.10.20,45
Singapore,2.11.20,47
Singapore,2.12.20,50
Singapore,2.13.20,58
Singapore,2.14.20,67
Singapore,2.15.20,72
Singapore,2.16.20,75
Singapore,2.17.20,77
Singapore,2.18.20,81
Singapore,2.19.20,84
Singapore,2.20.20,84
Singapore,2.21.20,85
Singapore,2.22.20,85
Singapore,2.23.20,89
Singapore,2.24.20,89
Singapore,2.25.20,91
Singapore,2.26.20,93
Singapore,2.27.20,93
Singapore,2.28.20,93
Singapore,2.29.20,102
Singapore,3.1.20,106
Singapore,3.2.20,108
Singapore,3.3.20,110
Singapore,3.4.20,110
Singapore,3.5.20,117
Singapore,3.6.20,130
Singapore,3.7.20,138
Singapore,3.8.20,150
